"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 시작 일자","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","요청여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","ASP00001S100120240107181","202303091900217","셀프브랜딩","마음을 끌어당기는 공감 커뮤니케이션","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.03","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107181.png","","S12309","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107181/01.mp4/playlist.m3u8","202404021431451712035905775","131524","1"
"ASP00001","ASP00001S100120240107169","202303092507798","공인중개사","박문각 공인중개사 2차 - 기본이론 - 부동산세법","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107169.png","","S12304","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107169/01.mp4/playlist.m3u8","202404021601251712041285140","131298","1"
"ASP00001","ASP00001S100120240107174","202303095029768","직업상담사","직업상담사 문제풀이 - 노동관계법규","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107174.png","","S12299","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107174/01.mp4/playlist.m3u8","202404021538151712039895576","131449","1"
"ASP00001","ASP00001S100120240107170","202303092507798","공인중개사","박문각 공인중개사 2차 - 기본이론 - 부동산공시법","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107170.png","","S12303","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107170/01.mp4/playlist.m3u8","202404021557461712041066477","131322","1"
"ASP00001","ASP00001S100120240107175","202303095029768","직업상담사","직업상담사 문제풀이 - 노동시장론","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107175.png","","S12298","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107175/01.mp4/playlist.m3u8","202404021536551712039815248","131462","1"
"ASP00001","ASP00001S100120240107176","202303095029768","직업상담사","직업상담사 문제풀이 - 직업정보론","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107176.png","","S12297","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107176/01.mp4/playlist.m3u8","202404021535341712039734009","131470","1"
"ASP00001","ASP00001S100120240107168","202303092507798","공인중개사","박문각 공인중개사 2차 - 기본이론 - 부동산중개사법 및 중개실무","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107168.png","","S12305","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107168/01.mp4/playlist.m3u8","202404021605081712041508341","131266","1"
"ASP00001","ASP00001S100120240107173","202303092507798","공인중개사","박문각 공인중개사 1차 - 기본이론 - 민법 및 민사특별법","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107173.png","","S12300","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107173/01.mp4/playlist.m3u8","202404021540081712040008514","131417","1"
"ASP00001","ASP00001S100120240107171","202303092507798","공인중개사","박문각 공인중개사 2차 - 기본이론 - 부동산공법","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107171.png","","S12302","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107171/01.mp4/playlist.m3u8","202404021552371712040757997","131346","1"
"ASP00001","ASP00001S100120240107172","202303092507798","공인중개사","박문각 공인중개사 1차 - 기본이론 - 부동산학개론","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107172.png","","S12301","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107172/01.mp4/playlist.m3u8","202404021544461712040286768","131381","1"
"ASP00001","ASP00001S100120240107167","202303095029768","직업상담사","직업상담사 이론 - 2차 직업상담실무","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107167.png","","S12306","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107167/01.mp4/playlist.m3u8","202404021609101712041750400","131248","1"
"ASP00001","ASP00001S100120240107178","202303095029768","직업상담사","직업상담사 문제풀이 - 직업상담학","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107178.png","","S12295","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107178/01.mp4/playlist.m3u8","202404021525491712039149316","131486","1"
"ASP00001","ASP00001S100120240107177","202303095029768","직업상담사","직업상담사 문제풀이 - 직업심리학","무료","1","N","01","2024.04.08~2024.12.31","수강신청일로부터30일","2024.04.02","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107177.png","","S12296","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107177/01.mp4/playlist.m3u8","202404021534121712039652657","131477","1"
"ASP00001","ASP00001S100120240107163","202303092783126","주택관리사","박문각 주택관리사 - 기본 - 공동주택 관리실무","무료","1","N","01","2024.03.01~2024.12.31","수강신청일로부터30일","2024.03.27","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/thumbnails/ASP00001S100120240107163.png","","S12284","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107162/01.mp4/playlist.m3u8","202403270940231711500023061","131200","1"
"ASP00001","ASP00001S100120240107153","202303131239826","인권","직장 내 장애인 인식개선 교육(한국장애인고용공단 제작 및 지정 콘텐츠)","무료","1","N","01","2024.03.01~2024.12.31","수강신청일로부터7일","2024.03.21","-","","P10000","한국장애인고용공단","분당구","37.348073","127.123001","N","N","N","ING","/upload/course/ASP00001/2024/03/콘텐츠 썸네일.png","","S12248","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107153/01.mp4/playlist.m3u8","202403210934071710981247279","131043","1"
"ASP00001","ASP00001S100120240107144","20230313411620","인문학","대답해드림 - 궁궐도시, 서울","무료","1","N","01","2024.03.11~2024.12.31","수강신청일로부터7일","2024.03.11","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/03/썸네일 8 1_경복궁, 조선 왕조의 꿈을 담다.jpg","","S12243","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107144/01.mp4/playlist.m3u8","202403111649421710143382276","130926","1"
"ASP00001","ASP00001S100120240107139","20230313411620","인문학","[집콕강좌] 서울 사람들의 여가생활","무료","1","N","01","2024.03.03~2024.12.31","수강신청일로부터7일","2024.03.11","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/03/썸네일 3 [집콕강좌] 1_조선시대 선비들 사이에 유행했던 순성을 들어보셨나요.jpg","","S12238","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107139/01.mp4/playlist.m3u8","202403111642511710142971488","130959","1"
"ASP00001","ASP00001S100120240107138","20230313411620","인문학","[집콕강좌] 식민도시 경성, 차별부터 파괴까지","무료","1","N","01","2024.03.11~2024.12.31","수강신청일로부터7일","2024.03.11","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/03/썸네일2 [집콕강좌] 1_스포츠메카 장충동, 원래 명성황후 추모 공간이었다[8].jpg","","S12237","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107138/01.mp4/playlist.m3u8","202403111641301710142890160","130967","1"
"ASP00001","ASP00001S100120240107142","20230313411620","인문학","대답해드림 - 인왕산, 북악산, 낙산 일대","무료","1","N","01","2024.03.11~2024.12.31","수강신청일로부터7일","2024.03.11","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/03/썸네일 6 1_수성동계곡에는 겸재 정선의 그림이 있다.png","","S12241","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107142/01.mp4/playlist.m3u8","202403111647381710143258048","130938","1"
"ASP00001","ASP00001S100120240107143","20230313411620","인문학","대답해드림 - 남산 일대","무료","1","N","01","2024.03.11~2024.12.31","수강신청일로부터7일","2024.03.11","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/03/썸네일 7.png","","S12242","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107143/01.mp4/playlist.m3u8","202403111648501710143330854","130933","1"
"ASP00001","ASP00001S100120240107141","20230313411620","인문학","[집콕강좌] 지하철을 탄 서울史","무료","1","N","01","2024.03.03~2024.12.31","수강신청일로부터7일","2024.03.11","-","","S1001","서울시(평생교육과)","중구","37.5645124","126.9757372","N","N","N","ING","/upload/course/ASP00001/2024/03/썸네일 5 1_조선시대 서울, 마을의 중심은 제당이었다고.png","","S12244","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2024/ASP00001S100120240107141/01.mp4/playlist.m3u8","202403111722511710145371603","130942","1"
