"사이트 아이디","ASP 아이디","강의 아이디","강의 구분","강의 명","수강신청 시작 일자","수강신청 종료 일자","강의 시작 일자","강의 종료 일자","강의대상","정원","수강신청 URL","등록 일자","수정 일자","교육기관 고유아이디","교육기관명","교육기관 자치구","교육기관 위도 좌표","교육기관 경도 좌표"
"lc1","ASP00001","ASP00001J401520240110536","오프라인","디자인툴로 홍보물 제작하기 2 : 망고보드, 캔바","202406030900","202408052359","20240806","20240827","","20","https://50plus.or.kr/ssc/education-detail.do?id=38388839","20240605114500","20240605114500","J4015","서울시50플러스 남부캠퍼스","구로구","37.4887582","126.842754"
"lc1","ASP00001","ASP00001J401520240110537","오프라인","생성형 AI 마스터클래스 2 :  챗GPT, 디스코드, 챗봇","202406030900","202407032359","20240704","20240725","","20","https://50plus.or.kr/ssc/education-detail.do?id=38389061","20240605114500","20240605114500","J4015","서울시50플러스 남부캠퍼스","구로구","37.4887582","126.842754"
"lc1","ASP00001","ASP00001J401520240110538","오프라인","1인미디어 수익형 플랫폼 활용하기 : 인스타그램, 블로그, 카카오","202406030900","202409042359","20240905","20240926","","20","https://50plus.or.kr/ssc/education-detail.do?id=40761684","20240605114500","20240605114500","J4015","서울시50플러스 남부캠퍼스","구로구","37.4887582","126.842754"
"lc1","ASP00001","ASP00001J401520240110539","오프라인","공공데이터를 활용한 빅데이터 시각화","202406030900","202409042359","20240905","20240926","","20","https://50plus.or.kr/ssc/education-detail.do?id=38388732","20240605114500","20240605114500","J4015","서울시50플러스 남부캠퍼스","구로구","37.4887582","126.842754"
"lc1","ASP00001","ASP00001J404020240110543","오프라인","엑셀 활용(엑셀기초+ITQ엑셀 자격증 취득)","202405011200","202408031200","20240803","20241005","","15","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100142559&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%97%91%EC%85%80&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110544","오프라인","단위화훼장식향상(이벤트플라워)","202405011200","202406261800","20240626","20240821","","15","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectPageListEduProgram.do?sch_class_code=&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EB%8B%A8%EC%9C%84&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110548","오프라인","영유아돌보미(베이비시터)-주말반","202405011200","202406221800","20240615","20240727","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100138586&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%98%81%EC%9C%A0%EC%95%84&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110549","오프라인","인지여가교육지도사/야간","202405011200","202407101800","20240710","20240807","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100139783&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110550","오프라인","인지여가교육지도사","202405011200","202406211800","20240614","20240712","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100141820&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%9D%B8%EC%A7%80&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
"lc1","ASP00001","ASP00001J404020240110551","오프라인","정리수납전문가","202405011200","202407081800","20240701","20240729","","20","https://jungnang.seoulwomanup.or.kr/jungnang/edu/selectEduProgram.do?sch_class_code=C100140587&returnUrl=%2Fjungnang%2Fedu%2FselectPageListEduProgram.do&edust=&sch_course_code=&sch_domain_code=&sch_group_code=&sch_edust=&sch_edu_fee=&sch_dayofweek=&sch_time_from=&sch_time_to=&sch_lecturer=&sch_class_name=%EC%A0%95%EB%A6%AC%EC%88%98%EB%82%A9&currentPage=1","20240605114500","20240605114500","J4040","중랑여성인력개발센터","중랑구","37.5929778","127.076499"
