강의 명,강의 카테고리명
계약서의 심화학습1 - 원천창작자를 위한 글로벌 계약서 작성법,콘텐츠산업 전문과정
"OTT 분야 직무: 3. 서비스 기획 및 운영, 디자인(1) - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
"신노년층, 오팔(OPAL)세대를 위한 미디어 이용가이드 - 연령별 미디어 이용 가이드",콘텐츠산업 전문과정
"게임인 인터뷰: 2. 게임 개발사, 밸런스 디자인 직무",콘텐츠산업 전문과정
로그분석 - 지표의 필요성과 정의,전문기술과정
1인 콘텐츠 실제 제작하기 1 : 채널 개설 및 관리,방송/영상
자신 있게 체결하는 게임 퍼블리싱 계약 - 단계별 각 당사자의 권리와 의무,콘텐츠산업 전문과정
"표현의 자유와 책임의 문제 - 표현의 자유는 어디까지인가, 사이버폭력",콘텐츠산업 전문과정
다큐멘터리 영화 기획 - 다큐멘터리 영화 기획과 스토리텔링,콘텐츠산업 전문과정
"웹툰 회사, 이런 일을 해요: 노블코믹스, 웹툰 OST - 웹툰 회사에서는 어떤 일을 할까?",웹툰/이모티콘
로그분석 - 지표의 종류,전문기술과정
신비아파트 - 국내 애니메이션 해외진출과 성공사례,콘텐츠산업 전문과정
뉴스 소비 방식의 진화 - 뉴스콘텐츠의 진화와 생태계,콘텐츠산업 전문과정
"게임인 인터뷰: 3. 게임 개발사, 프로그래밍 직무",콘텐츠산업 전문과정
계약서의 심화학습2 - 원천창작자를 위한 글로벌 계약서 작성법,콘텐츠산업 전문과정
게임 포스트모템 - 용사는 진행중 포스트모템,콘텐츠산업 전문과정
스튜디오 창작 시스템의 이해 - 웹툰 산업 및 플랫폼의 변화 양상,웹툰/이모티콘
Photogrammetry 활용하기 - Zbrush 리토폴리지 및 모델링 출력하기,전문기술과정
"미디어 감수성 - 제작자의 필수조건, 제작윤리의 모든 것",콘텐츠산업 전문과정
"웹툰 회사, 이런 일을 해요: 해외사업 - 웹툰 회사에서는 어떤 일을 할까?",웹툰/이모티콘
공연에서의 뉴미디어 테크놀로지 사용 - 뉴미디어 테크놀로지를 활용한 공연 제작,콘텐츠산업 전문과정
리얼리티쇼 분야 - 예능작가 실무 노하우,콘텐츠산업 전문과정
게임 트레일러 제작 - 기획단계,콘텐츠산업 전문과정
애니메이션 스토리텔링 - 장편 애니메이션 스토리텔링,콘텐츠산업 전문과정
제어와 운용 - 공연 창작과 기술,콘텐츠산업 전문과정
[수어자막] 배리어프리 서비스를 위한 법규정 알아보기 - 모두를 위한 즐거움 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
턴방식 게임의 이해 <히어로즈 오브 마이트 앤 매직> - 장르별 대표 사례로 보는 게임 기획,콘텐츠산업 전문과정
1인 콘텐츠 실제 제작하기 4 : 콘텐츠 업로드 및 관리,방송/영상
구성안부터 완성까지 - 다큐멘터리 지식채널e 숏 콘텐츠 5분의 미학,방송/영상
UHD 오디오를 위한 MPEG-H 활용 - 3D 오디오 마이킹과 제작의 이해,콘텐츠산업 전문과정
마스크와 레이아웃터 활용 - EDIUS 실무활용을 위한 이펙트 강좌,콘텐츠산업 전문과정
시즌제 드라마 CASE STUDY : 검법남녀 - 이유 있는 시즌 드라마의 성공법칙,방송/영상
"OTT 분야 직무: 2. 콘텐츠 수/배급 - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
게임 사운드 단계별 제작 과정 - 게임 사운드 디자인,콘텐츠산업 전문과정
UHD 오디오를 위한 MPEG-H 활용 - MPEG-H 제작에 필요한 오소링과 모니터링,콘텐츠산업 전문과정
계약과 법률 - 원천창작자를 위한 글로벌 계약서 작성법,콘텐츠산업 전문과정
"웹소설 원작 웹툰으로 각색하기 - 웹툰, 웹소설 각색하기",웹툰/이모티콘
"OTT 분야 직무: 6. 마케팅 - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
"[수어자막] 4차 산업혁명, AI, 딥 러닝, 그리고 뉴 콘텐츠 - AI를 적용한 사운드 콘텐츠 알아보기",인공지능
웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사 소개,웹툰/이모티콘
"게임인 인터뷰: 7. 인디개발사, 게임기획 직무",콘텐츠산업 전문과정
Q&A로 알아보는 기술감독의 역할과 기술경영,콘텐츠산업 전문과정
공연을 위한 뉴미디어 사용 2 - 가상현실과 인공지능 - 뉴미디어 테크놀로지를 활용한 공연 제작,인공지능
1인 콘텐츠 실제 제작하기 2 : 기획 및 제작,방송/영상
뮤지컬 장르의 이해 - Sung-through Musical,콘텐츠산업 전문과정
글로벌향 포맷 기획이란? - 글로벌향 포맷 기획,콘텐츠산업 전문과정
기초설계 - 공연 창작과 기술,콘텐츠산업 전문과정
동시녹음이란? - Real Sound : 동시녹음의 세계,콘텐츠산업 전문과정
게임 트레일러 제작 - 포스트 프로덕션,콘텐츠산업 전문과정
스튜디오 창작 사례 - 스튜디오 창작 시스템의 이해,콘텐츠산업 전문과정
K-Pop 해외진출 성공 사례 - K-Pop 아티스트 해외진출 성공전략,콘텐츠산업 전문과정
"웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사, 이런 일을 해요: 직군 및 회사 특장점",웹툰/이모티콘
콘텐츠 특허와 상표권 - 콘텐츠 상표,경영일반
"웹툰 회사, 이런 일을 해요: 웹툰 산업, 차별화 전략 - 웹툰 회사에서는 어떤 일을 할까?",웹툰/이모티콘
공연영상디자인 - 매핑과 쇼컨트롤,콘텐츠산업 전문과정
게임 포스트모템 - 마이 오아시스 포스트모템,콘텐츠산업 전문과정
중국에서 한국 프로그램 저작권 보호 방안,콘텐츠산업 전문과정
공연영상디자인 - 디스플레이 매체와 그 활용,콘텐츠산업 전문과정
K-Pop 아티스트 해외진출을 위한 노력과 성공 요인 - K-Pop 아티스트 해외진출 성공전략,콘텐츠산업 전문과정
"드라마, 다큐멘터리, 예능 등의 동시녹음 운용 - Real Sound : 동시녹음의 세계",콘텐츠산업 전문과정
MCN 비즈니스 전략 4 : 웹모바일 동영상 사업자의 향후 과제 - 수익모델의 강화,콘텐츠산업 전문과정
[수어자막] K-OTT 플랫폼 성공전략과 방향 - 이제는 OTT 시대 OTT 플랫폼 이야기,방송/영상
콘텐츠 특허와 상표권 - 콘텐츠 특허 Ⅰ,경영일반
"OTT 분야 직무: 1. 콘텐츠 제작/투자 - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
표준계약서 - 방송작가집필 표준계약서 바로 알기,콘텐츠산업 전문과정
"천애협로, 작가를 만나다 - 웹툰, 웹소설 각색하기",웹툰/이모티콘
웹툰 프로듀서를 위한 실전 만화기획 - 만화의 기획이란?,웹툰/이모티콘
"허위조작정보 - 진실 혹은 거짓, 미디어리터러시",콘텐츠산업 전문과정
"게임인 인터뷰: 4. 게임 퍼블리셔, 소싱 직무",콘텐츠산업 전문과정
"[수어자막] In-Camera VFX의 이해 - 가상을 현실로, Virtual Studio의 모먼트",AR/VR
"FRAPA, 포맷 바이블 - Format Protection Methodology_Powered by FRAPA",콘텐츠산업 전문과정
웹툰 프로듀서를 위한 실전 만화기획 - 작품 기획에 들어가며(O이 되는 이야기 만들기),웹툰/이모티콘
1강 방송영상 콘텐츠의 다문화 수용성,콘텐츠산업 전문과정
5G 콘텐츠와 비즈니스 모델 - 5G 시대 콘텐츠 트렌드 및 BM,콘텐츠산업 전문과정
이모티콘 기획하기 - 나만의 이모티콘 만들기,웹툰/이모티콘
"새로운 감수성의 시대, 입체적인 캐릭터 만들기",콘텐츠산업 전문과정
"새로운 시대의 영상, 예술이 되다_자크 킹(Zach King) - 디지털 시대의 새로운 영상 마술사",방송/영상
[수어자막] 배리어프리란? - 모두를 위한 즐거움 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
[수어자막] 발전된 배리어프리 서비스를 위하여- 모두를 위한 즐거움 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
취재와 촬영 - 다큐멘터리 글쓰기,콘텐츠산업 전문과정
1인 콘텐츠 실제 제작하기 3 : 콘텐츠 영상 편집,방송/영상
콘텐츠 산업에서 바라본 VR,AR/VR
자신 있게 체결하는 게임 퍼블리싱 계약 - 퍼블리셔의 권한 범위 설정하기,콘텐츠산업 전문과정
"웹툰 회사에서는 어떤 일을 할까? - 웹툰 회사, 이런 일을 해요: IP 확장",웹툰/이모티콘
게임 산업의 이해와 직무,콘텐츠산업 전문과정
뉴스 소비자의 등장과 새로운 소비 방식 - 뉴스콘텐츠의 진화와 생태계,콘텐츠산업 전문과정
클라우드 서버 세팅과 문제 대응 및 Appendix - 게임 클라우드 서비스 실무,콘텐츠산업 전문과정
[수어자막] AI를 음악 프로듀싱에 어떻게 이용할 수 있을까? - AI를 적용한 사운드 콘텐츠 알아보기,인공지능
[수어자막] 1인 크리에이터를 위한 저작권의 보호(구제)와 계약 - 1인 크리에이터를 위한 저작권 노하우,방송/영상
기타 실무 활용 - EDIUS 실무활용을 위한 이펙트 강좌,콘텐츠산업 전문과정
"새로운 시대의 영상, 예술이 되다_김성욱 감독 - 뮤직비디오, 예술로의 진화를 위한 도약",방송/영상
공연무대 연출의 발전과 전망 - 아트앤테크닉:무대기술,콘텐츠산업 전문과정
"3강 다문화 관련 가이드라인, 심의 규정 및 법령",콘텐츠산업 전문과정
애니메이션 스토리텔링 - VR 애니메이션 스토리텔링,콘텐츠산업 전문과정
뮤지컬 장르의 이해 - Showtune Vs. Pop Music 뮤지컬음악과 대중음악의 발전사,콘텐츠산업 전문과정
로그분석 - 설계 실습,전문기술과정
동시녹음 장비와 운용 - Real Sound : 동시녹음의 세계,콘텐츠산업 전문과정
"사운드 엔진에 적용과 출시, 그 후 - 게임 사운드 디자인",콘텐츠산업 전문과정
"OTT 산업 현황 분석 및 주요 직무 소개 - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
[수어자막] 1인 크리에이터라면 알아야 할 저작권 기본 이해- 1인 크리에이터를 위한 저작권 노하우,방송/영상
콘텐츠 내 세계관과 캐릭터 확장,콘텐츠산업 전문과정
클라우드 서버를 활용한 게임 서비스 - 게임 클라우드 서비스 실무,콘텐츠산업 전문과정
"새로운 시대의 영상, 예술이 되다_김성욱 감독 - 메인스트림 뮤직비디오 제작",방송/영상
"OTT 분야 직무: 3. 서비스 기획 및 운영, 디자인(2) - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
"게임인 인터뷰: 1. 종합 플랫폼사, 인사 직무",콘텐츠산업 전문과정
[수어자막] 인공지능이란? - 인공지능 기술에 대한 소개,인공지능
"게임인 인터뷰: 6. 게임 개발사, 재무 직무",콘텐츠산업 전문과정
혼합현실(MR)및 실감콘텐츠의 제작과 사례 - 아트앤테크닉:무대기술,콘텐츠산업 전문과정
UHD 오디오를 위한 MPEG-H 활용 - MPEG-H의 기능과 이해,콘텐츠산업 전문과정
"[수어자막] 버추얼 스튜디오의 제작기술 이해 - 가상을 현실로, Virtual Studio의 모먼트",AR/VR
뮤지컬 장르의 이해 - 창작 뮤지컬 Vs. 라이선스 뮤지컬,콘텐츠산업 전문과정
"팩트체크 - 진실 혹은 거짓, 미디어리터러시",콘텐츠산업 전문과정
콘텐츠 특허와 상표권 - 콘텐츠 특허 Ⅱ,경영일반
장르에 대한 이해 - 장르별 대표 사례로 보는 게임 기획,콘텐츠산업 전문과정
[수어자막] 인공지능기술 활용사례 - 게임 서비스와 테스트 분야,인공지능
EDIUS 9버전에 추가된 기능 알아보기 - EDIUS 실무활용을 위한 이펙트 강좌,콘텐츠산업 전문과정
"OTT 분야 직무: 5. 앱개발 및 미디어개발 - 콘텐츠 뒤의 사람들, OTT 이야기",방송/영상
인공지능 서비스와 발전방향 - AI(인공지능) 서비스와 콘텐츠,인공지능
인공지능의 정의와 트렌드 - AI(인공지능) 서비스와 콘텐츠,인공지능
[수어자막] 배리어프리 관련 직업탐구 1 - 콘텐츠산업 내 배리어프리 - 발전된 배리어프리 서비스를 위하여,콘텐츠산업 전문과정
방송프로그램 방영권 구매 표준계약서 바로 알기 - 표준계약서 사용지침,콘텐츠산업 전문과정
방송프로그램 제작 표준계약서 바로 알기 - 표준계약서 사용지침,콘텐츠산업 전문과정
[수어자막] 국내 OTT 현황과 미디어 전쟁 - 이제는 OTT 시대 OTT 플랫폼 이야기,방송/영상
"뉴스, 스토리와 영상을 입다",콘텐츠산업 전문과정
MCN 비즈니스 전략 3 : 기존 사업자들의 대응 - 웹모바일에 적응하기,콘텐츠산업 전문과정
다큐멘터리 영화 스토리텔링 - 다큐멘터리 영화 기획과 스토리텔링,콘텐츠산업 전문과정
세부설계 및 제작 - 공연 창작과 기술,콘텐츠산업 전문과정
"새로운 시대의 영상, 예술이 되다_자크 킹(Zach King) - Q&A로 알아보는 창의적 영상의 세계",방송/영상
[수어자막] 배리어프리 사례 알아보기 1 - 영화 - 모두를 위한 즐거움 - 콘텐츠산업 내 배리어프리,콘텐츠산업 전문과정
"시선을 사로잡는 힘, 공연 무대의 비밀 - 무대 속에 스며든 예술, 무대 디자인 A-Z",콘텐츠산업 전문과정
장르별 다른 내레이션 쓰는 법 - 다큐멘터리 글쓰기,콘텐츠산업 전문과정
[수어자막] OTT 차세대 미디어로 성장하다 - 이제는 OTT 시대 OTT 플랫폼 이야기,방송/영상
게임 사운드 디자인은 어떻게? - 게임 사운드 디자인,콘텐츠산업 전문과정
글로벌향 포맷의 실제 - 글로벌향 포맷 기획,콘텐츠산업 전문과정
"낙향문사전, 작가를 만나다 - 웹툰, 웹소설 각색하기",웹툰/이모티콘
실시간 게임의 이해 <이스> - 장르별 대표 사례로 보는 게임 기획,콘텐츠산업 전문과정
자신 있게 체결하는 게임 퍼블리싱 계약 - 지식재산권과 데이터베이스의 귀속,콘텐츠산업 전문과정
뉴스란 무엇인가 - 뉴스콘텐츠의 진화와 생태계,콘텐츠산업 전문과정
뮤지컬 장르의 이해 - Book Musical 서사와 대본 중심의 전통적인 북 뮤지컬,콘텐츠산업 전문과정
자신 있게 체결하는 게임 퍼블리싱 계약 - 수익의 분배와 비용의 부담,콘텐츠산업 전문과정
게임 사운드란? - 게임 사운드 디자인,콘텐츠산업 전문과정
클라우드 소개 - 클라우드 컴퓨팅 - 게임 클라우드 서비스 실무,콘텐츠산업 전문과정
게임 트레일러 제작 - 제작단계,콘텐츠산업 전문과정
5G 이동통신과 콘텐츠 산업 - 5G 시대 콘텐츠 트렌드 및 BM,콘텐츠산업 전문과정
공연을 위한 뉴미디어 사용 1 - 로봇공학과 비디오 맵핑 - 뉴미디어 테크놀로지를 활용한 공연 제작,콘텐츠산업 전문과정
공연영상디자인 - 공연영상디자인에 접근하는 방법,콘텐츠산업 전문과정
스튜디오 창작 시스템의 확대 요인 - 스튜디오 창작 시스템의 이해,콘텐츠산업 전문과정
[서울시복지재단 선택교육] 가정에서 시작하는 엄마표 경제교육,금융
[서울시복지재단 금융교육] 노풍당당한 노후준비,금융
[동작구] 유아 시설에서 함께하기 좋은 레크레이션 프로그램,건강관리
[광진구] 초보자도 가능한 근력운동 방법,건강관리
[도봉구] 입문자도 쉽게 배울 수 있는 탁구의 모든 것,건강관리
[영등포구] 월드컵의 감동을 직접 느끼다! 축구의 모든 것,건강관리
[서울시복지재단 선택교육] 부부가 함께 발 맞춰 달려가는 재무레이스,금융
[강북구] 집에 있는 도구로 할 수 있는 운동,건강관리
[성북구] 집에서도 할 수 있어요! 어르신 홈트레이닝,건강관리
[서초구] 오늘부터 나도 보디빌더! 보디빌딩 초급편,건강관리
"[송파구] 워밍업부터 율동, 스트레칭까지! 쉽게 따라하는 생활체조",건강관리
[영등포구] 왼손은 거들 뿐! 농구의 모든 것,건강관리
[은평구] 전신 다이어트에 좋은 서킷 운동,건강관리
[구로구] 직접 해보면 더 재미있는 배구의 자세와 기술,건강관리
[서울시복지재단 금융교육] 내 월급에 딱 맞는 저축과 투자,금융
[마포구] 건강증진과 탄력바디를 위한 근력운동 및 유산소 운동,건강관리
"[서울시복지재단 금융교육] 어서와, 재무계획은 처음이지",금융
"[노원구] 생활체육, 놀이가 되다! 다양한 놀이체육 활동",건강관리
[강동구] 운동 초보도 걱정 마세요~ 근력운동 및 스트레칭,건강관리
[양천구] 족구왕이 되기 위한 첫 걸음! 족구 기초 동작,건강관리
"[서울시복지재단 금융교육] 보이지 않는 위험, 보험으로",금융
[은평구] 생활 속에서 실천하는 생활체조,건강관리
[서울시복지재단 선택교육] 꿈꾸는 내일을 위한 창업 도전기,금융
[서울시복지재단 금융교육] 잘 아는 만큼 잘 챙기는 디지털 금융과 금융소비자의 권리,금융
[성북구] 이 운동이 요즘 하태용! 이색 스포츠 게이트볼,건강관리
[금천구] 누구나 쉽게 따라할 수 있는 어르신 프로그램,건강관리
[중랑구] 아이들의 균형 있는 신체 발달을 위한 유아체육 활동,건강관리
[서초구] 배드민턴? 어렵지 않아요. 배드민턴 초급편,건강관리
서울시 아픈아이 전담 아이돌보미 직무교육,취업
[관악구] 직장인도 간단하게 실천할 수 있는 스트레칭 방법,건강관리
[강서구] 한국인이라면 꼭 알아야 하는 태권도의 기본,건강관리
"[서울시복지재단 금융교육] 대출아, 신용을 부탁해",금융
[성동구] 음악에 맞춰 운동하는 매트 필라테스 운동,건강관리
"[강남구] 어르신부터 직장인, 부상자까지! 맞춤 운동 방법",건강관리
서울시 등하원 전담 아이돌보미 직무교육,취업
[서대문구] 이 영상 하나면 당신도 당구 고수가 됩니다!,건강관리
[서울시복지재단 선택교육] 내가 사는 주토피아,금융
[양천구] 인라인 신고 쌩쌩 달려요! 인라인의 기초,건강관리
"[HD]데이터 시각화, 분석 Spotfire(스팟파이어) 제대로 배우기 Part.2",프로그래밍
"[HD]데이터 시각화, 분석 Spotfire(스팟파이어) 제대로 배우기 Part.3",프로그래밍
[용산구] 놀이를 통해 운동해 봐요~ 유아체육활동,건강관리
[핫둘핫둘서울] 스포츠스타와 함께하는 홈 트레이닝,건강관리
[중구] 효과 좋은 전신운동으로 건강해지는 어르신 타바타,건강관리
[종로구] 생활체육지도자가 알려주는 이색 스포츠 보치아,건강관리
[중구] 신나게 춤추며 다이어트까지! 줌바댄스,건강관리
2022 협치성북 모니터링 교육,사회/교양
서울시 아동학대 신고의무자 교육 및 공공부문 아동학대 예방교육(1시간),인권
서울시 아동학대 신고의무자 교육 및 공공부문 아동학대 예방교육(2시간),인권
2022 시민도시 아카데미,사회/교양
[보육교직원편] 우리 아이 학대로부터 안녕 지키기,부모교육
부모교육 [영유아양육자편] 우리 아이 학대로부터 안녕 지키기,부모교육
시니어 재취업 자격증 완전정복 - 국민내일배움카드 편,시니어취업
[서울시복지재단 금융교육] 생애주기 재무설계,금융
시니어 재취업 자격증 완전정복 - 운전 분야편,시니어취업
시니어 재취업 자격증 완전정복 - 사무직 분야편,시니어취업
노인일자리 참여자 성희롱 예방교육,사회/교양
노인일자리의 이해,사회/교양
노인일자리 참여자 인권교육,사회/교양
노인일자리 참여자 안전교육,사회/교양
장애인학대 신고의무자 교육,인권
자전거 이용자를 위한 자전거 정비교육,취미생활
[중등] 스마트폰?인터넷 과의존 예방 교육,기타
[대학생] 스마트폰?인터넷 과의존 예방 교육,기타
[성인] 스마트폰?인터넷 과의존 예방 교육,기타
[고등] 스마트폰?인터넷 과의존 예방 교육,기타
[초등(저)] 스마트폰?인터넷 과의존 예방 교육,기타
[청소년보호자] 스마트폰?인터넷 과의존 예방 교육,기타
[청소년] 스마트폰?인터넷 과의존 예방 교육,기타
[유아] 스마트폰?인터넷 과의존 예방 교육,기타
[영유아보호자] 스마트폰?인터넷 과의존 예방 교육,기타
[초등(고)] 스마트폰?인터넷 과의존 예방 교육,기타
[고령층] 스마트폰?인터넷 과의존 예방 교육,기타
시니어 재취업 자격증 완전정복 - 돌봄 분야편,시니어취업
시니어 재취업 자격증 완전정복 - 경비?시설 분야편,시니어취업
[에너지정보문화재단] 에너지 지식탐구,사회/교양
[서울시복지재단 금융교육] 노후준비와 은퇴설계,금융
[서울시복지재단 금융교육] 디지털 금융과 금융소비자의 보호제도,금융
[서울시복지재단 금융교육] 보험관리와 활용,금융
[서울시복지재단 금융교육] 신용과 대출관리,금융
인권토크! 대화가 필요해(인권교육용),인권
총괄재난관리자 직무능력 강화 교육,기타
반려동물 돌봄교육,취미생활
대한적십자사 어린이이용시설종사자안전교육 이론과정(2h),기타
"동작구 민관합동 교육 ‘다시, 협치’",사회/교양
e-정비사업 공공지원 실무,사회/교양
경계선지적기능아동의 양육자 교육,부모교육
아이를 존중하는 긍정 양육(부모교육),부모교육
e-정비사업 아카데미 심화,사회/교양
알기 쉬운 공공감사,사회/교양
[서울시어르신취업지원센터] 방역원 교육(입문),시니어취업
[서울시어르신취업지원센터] 바리스타 2급 온라인교육,시니어취업
[서울시어르신취업지원센터] 슬기로운 직장생활,시니어취업
[서울시어르신취업지원센터] 취업 진단도구 활용법,시니어취업
반려동물 입양교육,취미생활
e-인권토크(인권교육용),사회/교양
2022 e-서울 매장문화재 이야기,인문학
"2022년 [명사특강] 다양한 삶의 자취, 디딤돌이 되다",사회/교양
[손수호 변호사의 사건 속으로] 자살 방지 교육,인권
[손수호 변호사의 사건 속으로] 개인정보보호 교육,인권
[손수호 변호사의 사건 속으로] 청렴교육,인권
[손수호 변호사의 사건 속으로] 직장 내 괴롭힘 방지 교육,인권
[손수호 변호사의 사건 속으로] 직장 내 장애인 인식개선 교육,인권
[손수호 변호사의 사건 속으로] 퇴직연금 교육,금융
[손수호 변호사의 사건 속으로] 성희롱 예방 교육,인권
2021년 서울시 평생학습 성과공유대회,사회/교양
시민의 지식 통로,사회/교양
"데이터 액티비즘, 우리도 할 수 있어!",OA활용
협치역량 강화 및 협치 활성화를 위한 『송파의 비전과 협치』,사회/교양
2021년 서울시 남북교류협력분야 민간단체 실무자 역량강화,사회/교양
서울시 아동인권전문가 심화?보수 교육,사회/교양
[SBA] 크리에이티브포스가 알려주는 1인 미디어 노하우 2021 W-UP,멀티미디어
도봉구 지속가능발전 온라인 교육,사회/교양
e-서울시 행복정책 이해하기,사회/교양
서울미래인재 역량강화교육 기본과정,사회/교양
서울미래인재 역량강화교육 심화과정,사회/교양
동작협치 활성화를 위한 「2021년 동작구 민관소통을 위한 주민 기본 교육」,사회/교양
[동남권 서울특별시 노동자 종합지원센터] 학교밖 청년예비노동자 경제.금융.노동인권 교육,사회/교양
[서울시어르신취업지원센터] 채용 지원서류 작성법 교육,시니어취업
"업무의 정석, 내부자들(인권교육용)",사회/교양
2020 알쓸학팁(알고보면 쓸모있는 학교폭력 예방과 대응의 팁),부모교육
통합교육콘텐츠 “고용노동부?보건복지부가 함께 하는 장애인식개선교육”,인권
장애인식개선교육 “다름과 닮음 속 더욱 빛나는 우리”,인권
강북구 주민자치 아카데미 2021년,사회/교양
[서울시 장애인식개선 영상] 새로고침 프로젝트 친구추가,사회/교양
[서울시 장애인식개선 영상] 교육용 애니메이션 영상,사회/교양
[서울시 장애인식개선 영상] 장애인 1분 에티켓,인권
[서울시 장애인식개선 영상] 빛과그림자,인권
[서울시 장애인식개선 영상] 장애인탈시설정책,사회/교양
생명의 릴레이,사회/교양
[서울시어르신취업지원센터] 직장 내 의사소통법 교육,시니어취업
[SBA] 크리에이터를 위한 인스타그램 광고,멀티미디어
[에너지정보문화재단] 에너지 정보쇼,사회/교양
초고층 건축물 등 실태점검 역량 강화 교육,사회/교양
서울시 건축안전자문단 안전관리,사회/교양
[지역건축안전센터] 민간건축공사장 안전관리,사회/교양
성동구 자치계획 세우기 A to Z,사회/교양
[지역건축안전센터] 민간건축물 안전관리,사회/교양
[지역건축안전센터] 민간건축물 및 민간건축공사장 안전관리,사회/교양
환경과 민주주의,사회/교양
법과 민주주의,사회/교양
[SBA] 크포꿀팁 : 크리에이터 채널성장 노하우,멀티미디어
[SBA] 크포꿀팁 : 촬영기법 및 노하우,멀티미디어
[SBA] 크포꿀팁 : 크리에이터와 기업(기관)의 커뮤니케이션 노하우,멀티미디어
[SBA] 크포꿀팁 : 콘텐츠 제작 무료 소스 노하우,멀티미디어
[SBA] 크포꿀팁 : 크리에이터 창업 노하우,멀티미디어
[SBA] 크포꿀팁 : 크리에이터 커머스 노하우,멀티미디어
[SBA] 크포꿀팁 : 편집기법 및 노하우,멀티미디어
강동구 주민참여예산학교,사회/교양
[SBA] 애프터이펙트 튜토리얼 30분 단기 강좌,멀티미디어
서울시 자녀 감정코칭,부모교육
서울시 인성교육 애니메이션,부모교육
[서울민주주의위원회] 지역사회혁신계획 지평을 넓히다,사회/교양
시민과 민주주의,사회/교양
[서울시어르신취업지원센터] 슬기로운 노무생활,시니어취업
[서울시어르신취업지원센터] 도보배달원 훈련,시니어취업
장애인식개선교육 “인식의 새로고침”,인권
장애인식개선교육 “인식의 길라잡이”,인권
사회적경제 교육 (기본과정),사회/교양
건축공사 관계자 착공 전 안전교육,사회/교양
[도봉구] 주민 대상 사회적경제 교육,사회/교양
[도봉구] 청소년 대상 사회적경제 교육,사회/교양
아파트관리 주민학교(기본)*,사회/교양
[2020년 서울시 거점 특성화 사업] 건강문해 동영상 자료,사회/교양
브로드웨이 뮤지컬의 이해,문화예술
매력적인 글쓰기,취미생활
장르만화의 이해,취미생활
파생상품 종류,사회/교양
파생결합 상품,사회/교양
[서울산업진흥원] W-UP_로마에서는 로마의 법을! 유튜브에서는 구글의 정책을!,멀티미디어
파생상품 활용,사회/교양
[서울산업진흥원] W-UP_글로벌채널 셋업,멀티미디어
"[서울산업진흥원] W-UP_콘텐츠 시장, 나는 나무를 보는가? 숲을 보는가?",멀티미디어
[서울산업진흥원] W-UP_데이터 기반 콘텐츠 기획하기,멀티미디어
[서울산업진흥원] W-UP_13년차 유튜버의 노하우,멀티미디어
슬기로운 투자,사회/교양
"[서울산업진흥원] W-UP_해외시청자, 유튜브 CC(Closed Captions)면 무조건 늘어납니다",멀티미디어
파생상품 이해,사회/교양
[서울산업진흥원] W-UP_유튜브 채널 유지 노하우,멀티미디어
[서울산업진흥원] W-UP_유튜브 알고리즘과 통계 도구를 활용한 채널 성장,멀티미디어
파생상품 심화,사회/교양
[서울산업진흥원] W-UP_구독자와 시청 지속시간을 늘리는 콘텐츠 기획,멀티미디어
[서울산업진흥원] W-UP_유튜브를 건강하게 오랫동안 운영하는 팁,멀티미디어
"[서울산업진흥원] W-UP_애프터이펙트, 이것만 알면 하나도 안어렵다!",멀티미디어
[서울산업진흥원] W-UP_현직 프로야구 캐스터가 알려주는 유튜버 스피치,멀티미디어
[서울산업진흥원] W-UP_해외로 나가는 마케팅,멀티미디어
[서울산업진흥원] W-UP_리뷰 콘텐츠를 위한 촬영 세팅 액세서리 활용,멀티미디어
"[서울산업진흥원]W-UP_콘텐츠 시장, 크리에이터 창업, 브랜드로 경력을 입히다",멀티미디어
[서울산업진흥원] W-UP_유튜버에게 2차 비즈니스가 필요한 이유+실제 쇼핑몰 운영 사례,멀티미디어
[서울산업진흥원] W-UP_내 채널 구독자들이 원하는 콘텐츠는 무엇일까?,멀티미디어
[서울산업진흥원] W-UP_유튜브 크리에이터 브랜디드/PPL 콘텐츠 제작 가이드,멀티미디어
[서울산업진흥원] W-UP_유튜브 채널 최적화 체크리스트,멀티미디어
[서울산업진흥원] W-UP_브랜디드 콘텐츠 꿀팁,멀티미디어
[서울산업진흥원] W-UP_유튜버의 브랜딩을 위한 무료 웹사이트 제작툴 소개,멀티미디어
[서울산업진흥원] W-UP_빠른 번역 및 자막 만들기 노하우,멀티미디어
"[서울산업진흥원] W-UP_영상 카메라 선택, 모드별 사용법",멀티미디어
[서울산업진흥원] W-UP_구독자 내 편 만드는 법,멀티미디어
[서울산업진흥원] W-UP_성공적인 유튜브 채널을 만드는 전략,멀티미디어
[서울산업진흥원] W-UP_유튜브를 위한 프리미어 편집 꿀팁 활용,멀티미디어
