강의 명,강의 카테고리명
(과정평가형자격)직업상담사1급 자격증 취득 및 실무과정 1회차,사회/교양
(과정평가형자격)직업상담사1급 자격증 취득 및 실무과정 1회차,사회/교양
(과정평가형자격)직업상담사1급 자격증 취득 및 실무과정 1회차,사회/교양
[전액지원] 노코드/로우코드를 활용한 웹/앱 개발자 과정,사회/교양
[전액지원] 노코드/로우코드를 활용한 웹/앱 개발자 과정,사회/교양
손글씨 캘리그라피입문과정,사회/교양
구글애널리틱스(GA) 디지털마케팅,사회/교양
구글애널리틱스(GA) 디지털마케팅,사회/교양
구글애널리틱스(GA) 디지털마케팅,사회/교양
[OA실무] 업무에 바로 적용하는 파워포인트,사회/교양
직업상담사2급 2차 실기,사회/교양
전직지원 전문가과정,사회/교양
"블로그,인스타 온라인마케팅",사회/교양
"퍼스널컬러, 나의 이미지 찾기",사회/교양
인사노무관리(근로기준법 총론),사회/교양
맞춤형화장품조제관리사 자격증취득과정,사회/교양
실내식물관리사2급과정,사회/교양
아이돌봄인력 양성교육(신규반),사회/교양
파이썬&웹기반 빅데이터분석 전문가과정,사회/교양
포토샵기초과정,사회/교양
"쉽고 빠른 영상 편집 2 : 캡컷, 키네마스터 ",사회/교양
영상편집기초및 활용(프리미어 프로),사회/교양
해외구매대행실무,사회/교양
요양보호사 신규과정반,사회/교양
요양보호사 사회복지사 주말반,사회복지사
요양보호사 사회복지사 야간반,사회복지사
"요양보호사 간호조무사, 물리치료사, 작업치료사 야간반",사회/교양
요양보호사 간호사 야간반,사회/교양
장기요양기관 운영실무,사회/교양
이커머스 창업과정,사회/교양
이커머스 창업과정,사회/교양
세무경리사무원 양성과정,사회/교양
세무경리사무원 양성과정,사회/교양
커리어컨설턴트 양성과정 ,사회/교양
재봉틀로 만드는 의류,사회/교양
컴퓨터활용능력2급(실기) 자격증취득과정,국가기술자격
꽃차소믈리에(입문),사회/교양
"누구나 작가가 될 수 있다! 6주 완성, 책 만들기",사회/교양
"한글,엑셀(문서작성입문)",사회/교양
전산회계1급자격취득,사회/교양
